estado;cidade;temp_m;latitude;longitude;altitude
AL;Coruripe;23.848082191780843;-10.128482;-36.286348;82
AL;Maceió;23.714453125000016;-9.551168;-35.770195;84
AL;Pão de Açucar;24.135937499999972;-9.749220;-37.430765;21
AL;São Luis do Quitunde;23.217903645833346;-9.287481;-35.565878;14
BA;Amargosa;20.691992187500013;-13.009468;-39.616881;398
BA;Barra;26.86868489583331;-11.084858;-43.138998;408
BA;Barreiras;26.72618181818183;-12.124715;-45.027049;474
BA;Belmonte;21.19674479166664;-16.088049;-39.215389;90
BA;Bom Jesus da Lapa;26.53350993377486;-13.251094;-43.405365;448
BA;Brumado;23.213346354166678;-14.181886;-41.672281;473
BA;Buritirama;26.31230468749999;-10.722925;-43.651203;506
BA;Caravelas;22.351562500000025;-17.739413;-39.258617;6
BA;Conde;24.323958333333326;-12.035833;-37.683889;32
BA;Correntina;23.434375000000003;-13.332386;-44.617376;552
BA;Curaçá;25.00286458333332;-9.0013;-39.9124;370
BA;Delfino;22.139062499999998;-10.454920;-41.206996;646
BA;Euclides da Cunha;20.686247877758905;-10.537233;-38.996605;432
BA;Feira de Santana;21.940364583333338;-12.196200;-38.967384;230
BA;Formosa do Rio Preto;23.150000000000006;-11.0521639;-45.2007694;488
BA;Guanambi;24.62583222370172;-14.2081235;-42.749647;552
BA;Ibotirama;27.455697050938358;-12.193060;-43.213420;425
BA;Ipiaú;21.469531250000017;-14.171304;-39.692502;132
BA;Irecê;21.86809895833333;-11.328998;-41.864504;768
BA;Itaberaba;22.881705729166665;-12.524062;-40.299714;250
BA;Itamaraju;21.454900662251635;-17.436667;-39.550861;110
BA;Itapetinga;21.593749999999975;-15.24462;-40.22955;271
BA;Itiruçu;18.487109375000006;-13.527828;-40.119752;757
BA;Jacobina;21.626432291666664;-11.205136;-40.464979;441
BA;Jeremoabo;22.48678385416666;-10.0807;-38.3459;261
BA;Lençóis;22.091276041666674;-12.557854;-41.388808;438
BA;Luis Eduardo Magalhaes;23.15488281250001;-12.152394;-45.829745;761
BA;Macajuba;21.544726562500017;-12.131694;-40.354222;339
BA;Maraú;23.34322916666669;-13.90694;-38.97222;6
BA;Piatã;17.029166666666658;-13.155681;-41.774125;1284
BA;Pilão Arcado;28.29619771863119;-10.018333;-42.500278;385
BA;Porto Seguro;21.202343749999986;-16.388977;-39.182389;86
BA;Queimadas;23.405170157068056;-10.984645;-39.617009;310
BA;Ribeira do Amparo;22.541721854304615;-11.058722;-38.444028;182
BA;Salvador;24.22076822916668;-13.005515;-38.505760;48
