REDE;MAC_ADDRESS;POWER;LATITUDE;LONGITUDE
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-68;-8.05081;-34.9533
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-64;-8.05082;-34.95336
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-71;-8.05078;-34.95332
Wi-Fi UFPE;90:3a:72:94:84:b8;-89;-8.05085;-34.95332
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-59;-8.05089;-34.95332
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-58;-8.05093;-34.95333
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-53;-8.05097;-34.95332
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-58;-8.05099;-34.95332
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-59;-8.05102;-34.95333
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-51;-8.05109;-34.95333
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-65;-8.05113;-34.95331
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-76;-8.05124;-34.95332
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-77;-8.05126;-34.95333
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-73;-8.05128;-34.95333
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-76;-8.05131;-34.95333
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-70;-8.05139;-34.95335
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-78;-8.05142;-34.95335
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-78;-8.05148;-34.95336
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-82;-8.05151;-34.95336
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-85;-8.05158;-34.95337
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-82;-8.05164;-34.95337
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-85;-8.05171;-34.95338
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-85;-8.05174;-34.95339
Wi-Fi UFPE;8c:fe:74:8d:ff:68;-80;-8.05211;-34.95343
Wi-Fi UFPE;8c:fe:74:8d:ff:68;-80;-8.0524;-34.95347
Wi-Fi UFPE;8c:fe:74:8d:fd:38;-77;-8.05398;-34.95361
Wi-Fi UFPE;20:b3:99:17:52:ba;-77;-8.05441;-34.95365
Wi-Fi UFPE;20:b3:99:17:52:ba;-77;-8.05523;-34.95373
Wi-Fi UFPE;90:3a:72:24:f9:58;-85;-8.0556;-34.95388
Wi-Fi UFPE;90:3a:72:25:01:08;-87;-8.05556;-34.95444
Wi-Fi UFPE;90:3a:72:25:01:08;-89;-8.05554;-34.95457
Wi-Fi UFPE;20:b3:99:17:2f:da;-86;-8.0555;-34.95506
Wi-Fi UFPE;20:b3:99:17:a0:4a;-85;-8.05544;-34.95555
Wi-Fi UFPE;20:b3:99:17:a0:ea;-88;-8.05541;-34.95568
Wi-Fi UFPE;20:b3:99:17:a0:4a;-80;-8.0554;-34.95571
Wi-Fi UFPE;20:b3:99:17:a0:4a;-80;-8.05524;-34.95604
Wi-Fi UFPE;20:b3:99:17:2f:da;-91;-8.05553;-34.95511
Wi-Fi UFPE;34:fa:9f:37:7f:e8;-88;-8.05559;-34.9545
Wi-Fi UFPE;34:fa:9f:37:7f:e8;-84;-8.05591;-34.95443
Wi-Fi UFPE;90:3a:72:25:01:08;-77;-8.056;-34.95383
Wi-Fi UFPE;90:3a:72:24:f9:58;-75;-8.056;-34.95361
Wi-Fi UFPE;90:3a:72:24:f9:58;-89;-8.0556;-34.95353
Wi-Fi UFPE;20:b3:99:e5:07:ca;-81;-8.05512;-34.953
Wi-Fi UFPE;20:b3:99:17:30:2a;-78;-8.05517;-34.95248
Wi-Fi UFPE;20:b3:99:16:bb:da;-87;-8.05524;-34.94991
Wi-Fi UFPE;20:b3:99:16:b8:aa;-88;-8.05514;-34.94993
Wi-Fi UFPE;20:b3:99:16:b8:aa;-93;-8.05438;-34.9495
Wi-Fi UFPE;20:b3:99:16:bb:da;-90;-8.05428;-34.94942
Wi-Fi UFPE;20:b3:99:e5:1b:0a;-91;-8.05401;-34.9493
Wi-Fi UFPE;20:b3:99:17:a8:aa;-87;-8.05391;-34.94926
Wi-Fi UFPE;20:b3:99:17:a8:aa;-91;-8.05381;-34.94921
Wi-Fi UFPE;20:b3:99:18:0d:9a;-81;-8.05356;-34.94905
Wi-Fi UFPE;90:3a:72:25:16:e8;-86;-8.05316;-34.94882
Wi-Fi UFPE;20:b3:99:17:56:9a;-75;-8.05305;-34.94876
Wi-Fi UFPE;20:b3:99:17:56:9a;-77;-8.05293;-34.94869
Wi-Fi UFPE;90:3a:72:25:06:18;-88;-8.05285;-34.94865
Wi-Fi UFPE;90:3a:72:25:17:58;-80;-8.05257;-34.94849
Wi-Fi UFPE;20:b3:99:17:93:aa;-88;-8.05216;-34.94794
Wi-Fi UFPE;90:3a:72:25:07:98;-86;-8.05188;-34.94768
Wi-Fi UFPE;90:3a:72:25:07:18;-81;-8.05157;-34.9477
Wi-Fi UFPE;90:3a:72:14:d7:28;-81;-8.05139;-34.94767
Wi-Fi UFPE;90:3a:72:25:08:28;-85;-8.05135;-34.94765
Wi-Fi UFPE;90:3a:72:14:d7:28;-76;-8.05128;-34.94764
Wi-Fi UFPE;90:3a:72:14:d7:e8;-86;-8.05114;-34.94766
Wi-Fi UFPE;90:3a:72:25:08:28;-78;-8.05107;-34.94766
Wi-Fi UFPE;90:3a:72:25:08:28;-81;-8.05087;-34.9476
Wi-Fi UFPE;90:3a:72:25:08:28;-77;-8.05077;-34.9476
